date,home_team,away_team,identity_source_id,result_source_id,kickoff_source_id,venue_source_id,training_source_id,upstream_fixture_key,training_eligible
2026-08-22,Le Mans,Stade Brestois,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:1,false
2026-08-22,Lens,Auxerre,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:1,false
2026-08-22,Paris Saint-Germain,Stade Rennais,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:1,false
2026-08-22,Troyes,Paris,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:1,false
2026-08-22,Marseille,Strasbourg,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:1,false
2026-08-22,Nice,Lorient,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:1,false
2026-08-22,Angers,Lille,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:1,false
2026-08-22,Toulouse,Lyon,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:1,false
2026-08-22,Le Havre,Monaco,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:1,false
2026-08-29,Monaco,Marseille,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:2,false
2026-08-29,Strasbourg,Lens,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:2,false
2026-08-29,Lorient,Troyes,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:2,false
2026-08-29,Lyon,Le Havre,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:2,false
2026-08-29,Paris,Nice,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:2,false
2026-08-29,Auxerre,Angers,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:2,false
2026-08-29,Stade Rennais,Le Mans,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:2,false
2026-08-29,Stade Brestois,Toulouse,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:2,false
2026-08-30,Lille,Paris Saint-Germain,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:2,false
2026-09-05,Le Havre,Stade Brestois,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:3,false
2026-09-05,Marseille,Paris,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:3,false
2026-09-05,Lens,Lorient,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:3,false
2026-09-05,Toulouse,Lille,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:3,false
2026-09-05,Paris Saint-Germain,Monaco,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:3,false
2026-09-05,Angers,Stade Rennais,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:3,false
2026-09-05,Lyon,Auxerre,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:3,false
2026-09-05,Troyes,Strasbourg,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:3,false
2026-09-05,Nice,Le Mans,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:3,false
2026-09-12,Lorient,Toulouse,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:4,false
2026-09-12,Lille,Troyes,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:4,false
2026-09-12,Le Mans,Lens,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:4,false
2026-09-12,Strasbourg,Monaco,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:4,false
2026-09-12,Auxerre,Nice,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:4,false
2026-09-12,Stade Rennais,Marseille,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:4,false
2026-09-12,Le Havre,Angers,openfootball-europe,,openfootball-europe,,,openfootball-europe:2026-27:4,false
